
2023/12/04 (11:40:48) | ===> btop++ v.1.2.13
2023/12/04 (11:40:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/04 (11:41:48) | INFO: Logger set to INFO
2023/12/04 (11:41:49) | INFO: Logger set to DEBUG

2023/12/04 (11:45:20) | ===> btop++ v.1.2.13
2023/12/04 (11:45:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/04 (12:20:53) | ===> btop++ v.1.2.13
2023/12/04 (12:20:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/04 (12:29:08) | ===> btop++ v.1.2.13
2023/12/04 (12:29:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/04 (13:06:07) | ===> btop++ v.1.2.13
2023/12/04 (13:06:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/04 (17:10:52) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (17:10:53) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (17:10:53) | ERROR: Exception in runner thread -> Mem:: -> key not found

2023/12/06 (14:57:37) | ===> btop++ v.1.2.13
2023/12/06 (14:57:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/06 (15:37:27) | ===> btop++ v.1.2.13
2023/12/06 (15:37:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/07 (13:43:46) | ===> btop++ v.1.2.13
2023/12/07 (13:43:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/11 (12:27:13) | ===> btop++ v.1.2.13
2023/12/11 (12:27:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/11 (20:04:09) | ===> btop++ v.1.2.13
2023/12/11 (20:04:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/12/12 (11:17:57) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2023/12/14 (11:22:53) | ===> btop++ v.1.2.13
2023/12/14 (11:22:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/15 (16:47:26) | ===> btop++ v.1.2.13
2023/12/15 (16:47:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/18 (12:52:00) | ===> btop++ v.1.2.13
2023/12/18 (12:52:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
